(那)類型	that type (Nà lèixíng)		due@2021-10-24 05:18:27
T恤衫	T-xùshān - T-shirt		due@2021-10-24 05:18:54
一	(yī) one		
一下	(yí xià) once; a bit		
一乾二净一干二净	Yīgān èr jìng yīgān èr jìng - completely; thoroughly		due@2021-10-24 05:18:07
一会儿	a little while (yíhuìr)		due@2021-10-24 05:19:01
一共	(yí gòng) altogether		
一号线	(yī hào xiàn) Line 1		due@2021-10-24 05:17:49
一向	yíxiàng - all along; the whole time; constantly		due@2021-10-24 05:18:53
一定	certain, definite; certainly, definitely (yídìng)		due@2021-10-24 05:17:40
一带	yídài - the area around a particular place (the neighboring area)		
一房一厅	(yī fáng yī tīng) one bedroom and one living room		
一月	(yī yuè) January		due@2021-10-24 05:17:10
一样	(yíyàng) same; alike		due@2021-10-24 05:17:50
一次性	yícìxìng - one-time		due@2021-10-24 05:17:57
一直	(yìzhí) straight; continuously		
一般	(yì bān) normally, generally		due@2021-10-24 05:17:33
一般	yì bān - normally, generally		
一起	(yìqǐ) together		
一路平安	(yí lù píng ān) to have a pleasant journey / bon voyage		
一边	(Yībiān) simultaneously; at the same time		due@2021-10-24 05:18:56
七	(qī) seven		due@2021-10-24 05:18:52
七月	(qī yuè) July		due@2021-10-24 05:17:30
丈夫	husband (zhàngfu)		
三	(sān) three		due@2021-10-24 05:17:52
三月	(sān yuè) March		due@2021-10-24 05:17:14
上个	(shàng gè) the previous one		
上午	(shàngwǔ) morning		
上大学	(shàng dàxué) to attend college/university [vo.]		due@2021-10-24 05:18:14
上次	last time (shàng cì)		due@2021-10-24 05:17:49
上海	(Shàng hǎi) Shanghai		
上海	Shanghai (Shànghǎi)		
上班	shàng bān - to go to work; to be on duty; to start work; to go to the office		due@2021-10-24 05:16:39
上瘾	to become addicted (shàng yǐn)		due@2021-10-24 05:16:38
上网	(shàng wǎng) to go on the internet		due@2021-10-24 05:18:19
上菜	to serve food (shàng cài)		due@2021-10-24 05:17:25
上课	(Shàngkè) to go to class		
上车	(shàng chē) to get on vehicle		
下个	(xià ge) next one		due@2021-10-24 05:16:51
下午	(xiàwǔ) afternoon		
下次	(xià cì) next time		due@2021-10-24 05:16:45
下车	(xià chē) to get off a bus, train, etc.		due@2021-10-24 05:17:20
下车	(xià chē) to get off a bus, train, etc.		due@2021-10-24 05:18:55
下载	xiàzài - to download		due@2021-10-24 05:18:22
下雨	(xià yǔ ) to rain		
下雪	(xià xuě) snowing		due@2021-10-24 05:16:47
不	(bù) no; not		
不仅	(bù jǐn) not only		due@2021-10-24 05:18:49
不但。。。而且	not only... but also... (bú dàn ... ér qiě ...)		due@2021-10-24 05:18:09
不停	bùtíng - continuously; incessantly		
不同	bù tóng - different; not the same		due@2021-10-24 05:17:57
不同的觀點	different point of view (Bùtóng de guāndiǎn)		
不堪设想	Bùkānshèxiǎng - (of consequences) too ghastly to contemplate; unimaginable; extremely bad or dangerous		due@2021-10-24 05:16:40
不好意思	(bùhǎo yìsi ) to feel embarrassed		due@2021-10-24 05:17:27
不如	bùrú - not equal to; inferior to; to not measure up to		
不得了	bù dé liǎo - extremely; exceedingly; couldn't be more		due@2021-10-24 05:18:41
不必	búbì - need not; not have to		
不断	bù duàn - continuously		due@2021-10-24 05:18:34
不是。。。而是。。。	bú shì... ér shì - it is not... but		due@2021-10-24 05:17:47
不用	(bú yòng) need not		
不管	bù guǎn - no matter of, regardless of		
不见得	（bú jiàn de）not necessarily		due@2021-10-24 05:18:25
不见得	not necessarily (bú jiàn de)		
不过	(búguò) however; but		due@2021-10-24 05:19:08
不错	(búcuò) not bad; pretty good		due@2021-10-24 05:18:05
与	yǔ - and, with		due@2021-10-24 05:17:43
专业	(zhuān yè) specialist are of study, major in college		due@2021-10-24 05:18:29
世界	world (shìjiè)		
东	east (dōng)		due@2021-10-24 05:17:07
东京	Tokyo (dōngjīng)		
东西	(dōngxi) things; objects		due@2021-10-24 05:18:55
两	(liǎng) two; a couple of		due@2021-10-24 05:16:56
严重	yán zhòng - serious, severe, grave		due@2021-10-24 05:19:00
个	(gè) a measure word for counting objects		due@2021-10-24 05:18:44
中	(zhōng) medium; middle		due@2021-10-24 05:18:38
中	Zhòng - to fit exactly; to hit		due@2021-10-24 05:18:30
中介	(zhōngjiè) agent		
中介	(Zhōngjiè) agent		due@2021-10-24 05:18:07
中午	(zhōngwǔ) noon		due@2021-10-24 05:18:47
中国	(Zhōng guó) China		due@2021-10-24 05:17:30
中国城	Chinatown (Zhōngguóchéng)		due@2021-10-24 05:17:59
中学	zhōngxué (middle school)		
中心	(zhōngxīn) center		due@2021-10-24 05:17:00
中间	(zhōng jiān) in the middle		
为	(wèi) for		
为了	(wèi le) in order to, for the sake of		
为什么	(wèishénme) why		
主意	zhǔyì (idea)		due@2021-10-24 05:17:24
主要	zhǔ yào - main, principal		due@2021-10-24 05:19:03
举	jǔ - to lift; to raise		due@2021-10-24 05:17:41
久	(jiǔ) long (time)		due@2021-10-24 05:18:39
之	Zhī - Literary counterpart of 的		due@2021-10-24 05:16:50
之间	zhī jiān - between; among		due@2021-10-24 05:18:04
乒乓球	pīng pāng qiú - table tennis; ping-pong		due@2021-10-24 05:18:37
乖	guāi - (of children) obedient; well-behaved		due@2021-10-24 05:17:18
九	(jiǔ) nine		due@2021-10-24 05:17:08
