..ved at ...
med at 
færd med
gang med	about to
aben	the monkey
åbne	open
åbnede	opened
åbnedes	were opened
was opened
åbnes	opens
am/are/is opened
åbnet	opened
åbningen	the opening
ad døren	through the door
adgang	access
adgangen	the access
advokaten	the lawyer
ægteskab	marriage
ældre	older
ælling	duckling
ændre	change
ændredes	were changed
ændrer	will change
changing
is changing
ændres	is being changed
is changed 
be changed
ændret	changed
æren	the honour
afgrøden	the crop
afmærker	marks
afslutning	ending
afsluttes	ended
is ended
ends
afsluttet	finished
afsnit	episode
afstanden	the distance
agurker	cucumber
aldrig	never
alene	alone
alkoholen	the alcohol
alle	everyone
alle steder	everywhere
allerede	already
alt	everything
altid	always
anderledes	different
andre	other
angrebene	the attacks
ankommer	is arriving 
is
will arrive
ankommet	arrived
anledningen	the occasion
annoncerer	announce
ansigtet	the face
ansvaret	the responsibility
ansvarlig	responsible
antage	assume
antager	assume
antaget	assumed
antal	number
år	year
arbejdede	did work
was/were working
worked
arbejderne	the workers
årene	the years
armbåndsuret	the watch
årsagen	the cause
årtier	decades
artikel	article
at	that
at købe ind	shopping
at virke	work
atlet	athlete
avisdrengen	the paper boy
bad	asked

was/were asking
både	both
båden	the boat
badeværelset	the bathroom
bakken	the hill
ballade	trouble
bandet	the band
bange	afraid
barberer sig	shaves
bare	just
bare	just
bede	ask (politely - may I ask)
bedre	better
bedst	best
bedste	best
begge	both
begravelse	funeral
begynde	begin
begyndelsen	the beginning
begynder	start
begyndte	began
behandler	treats
treat
is treating
behandling	treatment
care
beholde	keep
beholdte	kept
behøvede	did have to 
had/have to
was/were needing
behøver	need
behøves	is necessary 
be needed
benzinen	the gasoline 
the petrol
berømt	famous
beskeden	the message
beskidte	dirty
beslutning	decision
besluttede	decided
besluttet	decided
besøge	visit
besøgende	visitors 
visiting
besøger	am/is/are visiting 
visit
visits
bestemt	definitely
bestilt	ordered
bestyrelsen	the board of directors
besvare	answer
betal	pay
betale	pay
betalt	paid
betjenten	the officer
betjentene	the officers
betydningen	the meaning
betydninger	meanings
bevis	evidence 
proof
bilen	the car
billedet	the picture
billigere	cheaper
biografen	the cinema
bjerget	the mountain
blad	magazine
bladet	the leaf
bland	mix
blander	mixes
blandt/iblandt	among
blev på	stayed at
blev til	turned into
blevet	become 
been
blive	stay
bliver aldrig	will never be
become 
are being
bliver dræbt	is killed
bliver fyldt	is being filled
bliver gemt	are being hidden/saved
bliver købt	is bought 
is being bought
bliver rød i ansigtet	blushing
bliver skudt	is shot
bliver sunget	being sung
bliver svigtet	is being let down
bliver talt	are being counted
bliver tilbudt	is being offered
blomsten	the flower
bo	live
boet	lived
bolden	the ball
bolle	bun
bor	lives (in a home)
bør	ought to
should
bordet	the table
bordskåner	trivet
boren	the bridge
brændende	burning
brændet	the wood
brandmændene	the firemen
brevet	the letter
brødrister	toaster
brug	needs
need
bruge	use
bruger tid	spends time
bruges	is being used
brugt	used
brugte	used
brugtes	was used
were spent
bryllup	wedding
brystkassen	the chest
budgettet	the budget
bukserne	the pants
burde	should
butikken	the shop
by	town
city
bygget	built
bygning	building
chefen	the manager
computeren	the computer
cykelstier	bicycle paths
cykler	bikes
da	really
after all
since
when
da	when
dække	cover
dækker	am/are/is covering
cover
covers
dækker bord	set the table
dalen	the valley
dame	lady
dannebrog	the Dannebrog
dansen	the dance
