aan boord	on board
aanbieding, de	special offer
aandacht, de	attention
aangeboren	innate
aankleden	to dress
aankomen	arrive
aankomst, de	arrival
aankoop, de	purchase
aanleggen	to construct
aanleunwoning, de	sheltered accommodation
aannemelijk	plausible, acceptable
aanpakken	organise
aanrecht, het	counter (kitchen)
aansprakelijkheid, de	liability
aantal	the number of
aantekenen	register
aantonen	to demonstrate, to prove
aantreffen	to find
aantrekkelijk	attractive
aanvragen	apply for
aanwezig	present
aanzetten	turn on
aardig	nice
aardig vinden	like
absoluut	absolute
accepteren	accept
achter elkaar	one after another
achteraf	afterwards
achtergrond, de	background
actie, de	action, activity
actief	active
activiteit, de	activity
advertentie, de	advertisement
af en toe	occasionally
afgesproken	agreed
afhangen	depend
afhankelijk	dependent
afkoelen	cool down
afnemen	decrease
afpakken	to take away, snatch
afrekenen	pay
afscheid, het	departure, farewell
afschuwelijk	horrible, awfully
afstand, de	distance
afstuderen	graduate
afvallen	to lose weight
afvragen, zich	to wonder, to doubt
afwasmachine, de	dishwasher
afwassen	to wash the dishes
afwisseling, de	variation
afzeggen	cancel
afzuigkap, de	cooker hood
agressie, de	aggression
agressief	aggressive
alleenstaand	single
allemaal	all
als	if, when
alternatief, het	alternative
altijd	always
amper	barely, hardly
andersom	vice versa
anderzijds	on the other hand
apart	to be separated
apotheek, de	pharmacy
apparaat, het	machine, appliance
arbeid, de	work, labour
arbeider, de	worker
argument, het	argument
armband, de	bracelet
armoede, de	poverty
artikel, het	article, item
asociaal	anti-social
assistente, de	assistant
au	ouch
autochtoon, de	native
automobilist, de	driver
baan, de	job
bagage, de	luggage
bak, de	box
bakken	fry
balie, de	counter
band, de (auto, fiets)	tire
band, de (familie)	(family) tie
basisschool	primary school
bedenken	to devise, think up
bedrag, het	sum of money
bedreigen	to threaten
bedrijf, het	company
beëindiging, de	termination
beek, de	brook, stream
beeld, het	screen
been, het	leg
begeleiden	to accompany, to coach
begeleiding, de	accompaniment
begrafenis, de	funeral
begrijpen	understand
beheren	to manage
behoorlijk (tamelijk)	substantially
beide	both, either
bejaarde, de	elderly man
bekend	well-known
bekendmaken	give notice of
beker, de	cup
bel, de	bell
belachelijk	ridiculous, absurd
belangstelling, de	interest
beleefd	polite, courteous
beleggen	to cover, to put on
beleid, het	policy
belevenis, de	experience, adventure
beloven	to promise
bemanningslid, het	crew member
benzinestation, het	petrol station
beoordelen	judge
bepaald	particular, specific
bepalen	determine
bereiden	to prepare
bereikbaar	accessible
bereikbaar	reachable
bereiken	to reach, accomplish
berg, de	mountain
bericht	report
beroemd	famous
beroep, het	profession
beschadigd	damaged
bescheiden	modest
beschermen	to protect
beschikbaar	available
beschrijven	describe
beschrijven	to write on, to describe
beschuit, de	Dutch biscuit
beslissing, de	decision
besluiten	decide
bestaan uit	consist of
besteden	to spend
bestelling, de	order
bestemming, de	intention, purpose
betaling, de	pay
beterschap	get well soon
beurt, de	overhaul, servicing
bevatten	contain
bevestigen	to confirm
bevolking, de	population
bewaren	keep, store
bewegen	move
bewerken	edit
bewolkt	clouded
bewust	aware
bezig zijn met	working on
bezigheid, de	activity, occupation
bezit, het	property
bezorgd	concerned for
bezuinigen, de bezuiniging, de	to save, saving
bibliotheek, de	library
bieden	offer
bijna nooit	hardly
bijvoorbeld	for example
bijwerking, de	side effect
bil, de	buttock
binden	to unite
binnen	inside
binnenkort	son, shortly
binnenstad, de	city centre
biologie, de	biology
blad, het	magazine
blaffen	bark
blij	glad, happy
blijken	appear
blijven	stay
blijven (werken)	go/ keep on
blik, de	a look
bloeddruk, de	blood pressure
bloemkool, de	cauliflower
blut	broke
bod, het	offer
boer, de	farmer
bom, de	bomb
boodschap, de	message
boos	angry
bord, het	notice, sign
bord, het	plate
borst, de	chest
borstel, de	brush
borstvoeding, de	breast-feeding
bos, de	bouquet
bos, het	woods, forest
bouwen	to build
bovendien	furthermore
brand, de	fire
breed	wide
