(那)類型	that type (Nà lèixíng)
T恤衫	T-xùshān - T-shirt
一	(yī) one
一下	(yí xià) once; a bit
一乾二净一干二净	Yīgān èr jìng yīgān èr jìng - completely; thoroughly
一会儿	a little while (yíhuìr)
一共	(yí gòng) altogether
一号线	(yī hào xiàn) Line 1
一向	yíxiàng - all along; the whole time; constantly
一定	certain, definite; certainly, definitely (yídìng)
一带	yídài - the area around a particular place (the neighboring area)
一房一厅	(yī fáng yī tīng) one bedroom and one living room
一月	(yī yuè) January
一样	(yíyàng) same; alike
一次性	yícìxìng - one-time
一直	(yìzhí) straight; continuously
一般	(yì bān) normally, generally
一般	yì bān - normally, generally
一起	(yìqǐ) together
一路平安	(yí lù píng ān) to have a pleasant journey / bon voyage
一边	(Yībiān) simultaneously; at the same time
七	(qī) seven
七月	(qī yuè) July
丈夫	husband (zhàngfu)
三	(sān) three
三月	(sān yuè) March
上个	(shàng gè) the previous one
上午	(shàngwǔ) morning
上大学	(shàng dàxué) to attend college/university [vo.]
上次	last time (shàng cì)
上海	(Shàng hǎi) Shanghai
上海	Shanghai (Shànghǎi)
上班	shàng bān - to go to work; to be on duty; to start work; to go to the office
上瘾	to become addicted (shàng yǐn)
上网	(shàng wǎng) to go on the internet
上菜	to serve food (shàng cài)
上课	(Shàngkè) to go to class
上车	(shàng chē) to get on vehicle
下个	(xià ge) next one
下午	(xiàwǔ) afternoon
下次	(xià cì) next time
下车	(xià chē) to get off a bus, train, etc.
下车	(xià chē) to get off a bus, train, etc.
下载	xiàzài - to download
下雨	(xià yǔ ) to rain
下雪	(xià xuě) snowing
不	(bù) no; not
不仅	(bù jǐn) not only
不但。。。而且	not only... but also... (bú dàn ... ér qiě ...)
不停	bùtíng - continuously; incessantly
不同	bù tóng - different; not the same
不同的觀點	different point of view (Bùtóng de guāndiǎn)
不堪设想	Bùkānshèxiǎng - (of consequences) too ghastly to contemplate; unimaginable; extremely bad or dangerous
不好意思	(bùhǎo yìsi ) to feel embarrassed
不如	bùrú - not equal to; inferior to; to not measure up to
不得了	bù dé liǎo - extremely; exceedingly; couldn't be more
不必	búbì - need not; not have to
不断	bù duàn - continuously
不是。。。而是。。。	bú shì... ér shì - it is not... but
不用	(bú yòng) need not
不管	bù guǎn - no matter of, regardless of
不见得	（bú jiàn de）not necessarily
不见得	not necessarily (bú jiàn de)
不过	(búguò) however; but
不错	(búcuò) not bad; pretty good
与	yǔ - and, with
专业	(zhuān yè) specialist are of study, major in college
世界	world (shìjiè)
东	east (dōng)
东京	Tokyo (dōngjīng)
东西	(dōngxi) things; objects
两	(liǎng) two; a couple of
严重	yán zhòng - serious, severe, grave
个	(gè) a measure word for counting objects
中	(zhōng) medium; middle
中	Zhòng - to fit exactly; to hit
中介	(zhōngjiè) agent
中介	(Zhōngjiè) agent
中午	(zhōngwǔ) noon
中国	(Zhōng guó) China
中国城	Chinatown (Zhōngguóchéng)
中学	zhōngxué (middle school)
中心	(zhōngxīn) center
中间	(zhōng jiān) in the middle
为	(wèi) for
为了	(wèi le) in order to, for the sake of
为什么	(wèishénme) why
主意	zhǔyì (idea)
主要	zhǔ yào - main, principal
举	jǔ - to lift; to raise
久	(jiǔ) long (time)
之	Zhī - Literary counterpart of 的
之间	zhī jiān - between; among
乒乓球	pīng pāng qiú - table tennis; ping-pong
乖	guāi - (of children) obedient; well-behaved
九	(jiǔ) nine
九月	(jiǔ yuè) September
也	(yě) also, too
习惯	xí guàn - habit, to be accustomed to
书	(shū) book
书店	(shūdiàn) bookstore
书本	books (shūběn)
书架	bookshelf (shū jià)
书桌	desk (shūzhuō)
买	(mǎi) to buy
乱	(luàn) messy, chaotic
了	(a dynamic particle)
了解	liǎo jiě - to understand, know about
事（儿）	(shì)(r) matter; affair; event
事业	shìyè - career; undertaking
事情	shì qing - thing, matter, affair
二	(èr) two
二姐	(èrjiě) second eldest sister
二月	(èr yuè) February
于	yú - at, on, in, to, than
于是	yú shì - so, therefore
互相	(hù xiāng) mutually
互相	hù xiāng - mutual, each other, reciprocally
五	(wǔ) five
五月	(wǔ yuè) May
亚洲研究	(Yàzhōu yánji) Asian studies
些	(xiē) some; few; several; (a measure word)
交	jiāo - to hand over
交通	(jiāo tōng) traffic
交通	(jiāotōng) transportation; traffic
交通	jiāo tōng - traffic
交響樂	symphony (Jiāoxiǎngyuè)
