Klimaanlage      air conditioning			due@2021-10-08 22:33:52
(Atom)kraft (f)	(nuclear) energy		
(Bürger)krieg (m)	(civil) war		due@2021-10-08 22:33:43
(Sport)bericht (m)	(sports) report		
(un)trinkbar	(not) drinkable		
(Wald)brand (m)	(forest) fire		
abbiegen	to turn (off)		
Abendessen (n)	evening meal, supper		
aber	but		
Abfahrt (f)	departure		
Abfall (m)	rubbish		
abfliegen	to depart (by plane)		due@2021-10-08 22:32:55
Abflug (m)	departure (by plane)		
Abitur (n)	equivalent to GCE A levels		
abnehmen	to lose weight		
Abreise (f)	departure		
abreisen	to depart		
abschicken	to send, to post		
abschicken	to send, to post		
Abschlussprüfung (f)	final exam		
abschreiben	to copy		
abspülen	to wash up		due@2021-10-08 22:35:01
Abteilung (f)	department		
abwählen	to drop (a subject)		
abwaschen	to wash up		
acht	eight		
achtzehn	eighteen		
achtzig	eighty		
adoptiert	adopted		
Adresse (f)	address		
ähnlich	similar		
Akrobat/in (m/f)	acrobat		
Aktivität (f)	activity		
Alkohol (m)	alcohol		
alle	everything		
allein	alone		
alles Gute	all the best		
allgemein	general, common		
alt	old		
alt	old		
alt, älter, ältest	old, older, oldest		
am, auf	on, at the		
amüsieren (sich)	to enjoy oneself		
Ananas (f)	pineapple		
anfangen	to begin, start		
anfangen	to begin, start		
anfangen	to begin, start		
angeln	to fish		
angeln	to go fishing		due@2021-10-08 22:40:20
Angelrute (f)	fishing rod	deck#2	due@2021-10-03 03:40:34
angenehm	pleasant		
angenehm	pleasant, nice, kind		
Angestellte(r) (f/m)	employee	deck#2	due@2021-10-03 02:25:52
Angriff (m)	attack		
Angst haben	to be afraid		
Anhänger (m)	pendant (jewellery)		
ankommen	to arrive		
Ankunft (f)	arrival		
Anrufbeantworter (m)	answerphone, voicemail	deck#2	due@2021-10-03 02:23:37
anrufen	to call (on the phone)		
anrufen	to ring, to phone, to give a call		
anschauen	to watch, look at		due@2021-10-08 22:33:37
Ansichtskarte (f)	picture postcard		
anstrengend	tiring		
anziehen (sich)	to get dressed		
Apfel (m)	apple		
Apfelsine (f)	orange	deck#2	due@2021-10-03 03:41:08
Apfelwein (m)	cider		
Apotheke (f)	chemist's (dispensing)		
Aprikose (f)	apricot		
Arbeit (f)	work		
arbeiten	to work		
arbeiten	to work		
arbeiten	to work		due@2021-10-08 22:37:24
Arbeiternehmer/in (m/f)	employee, worker		
Arbeitgeber/in (m/f)	employer		
arbeitslos	unemployed		
arbeitslos	unemployed		
Arbeitslosigkeit (f)	unemployment		
Arbeitspraktikum (n)	work experience		
Arm (m)	arm		
Armbanduhr (f)	wristwatch		
Arzt/Ärztin (m/f)	doctor		
Arzt/Ärztin (m/f)	doctor		
Asthma (n)	asthma		
atmen	to breathe		
auch	also, too	deck#2	due@2021-10-09 22:40:10
auf dem Lande	in the country	deck#2	due@2021-10-03 02:21:53
auf etwas vorbereiten (sich)	to get ready for		
Aufenthalt (m)	stay		
aufmachen	to open	deck#2	due@2021-10-03 03:39:56
aufmachen	to open		
aufräumen	to tidy up		
aufschlagen	to pitch (tent), to open		due@2021-10-08 22:40:56
Aufschnitt (m)	assorted sliced cold meats		
aufstehen	to get up		
aufwachen	to wake up		
aufwachsen	to grow up		
Auge (n)	eye		
Aula (f)	hall		due@2021-10-08 22:35:06
aus	from, of, out of		
Ausbildung (f)	apprenticeship		
Ausfahrt (f)	exit		
Ausflug (m)	outing, excursion		
ausfüllen	to complete, to fill in		
Ausgang (m)	exit, way out		
Ausgang (m)	way out, exit		
ausgeben	to spend (money)		
ausgebucht	booked up, fully booked		due@2021-10-08 22:38:23
ausgehen	to go out	deck#2	due@2021-10-03 02:24:07
ausgehen	to go out		
Auskunft (f)	information		due@2021-10-08 22:34:56
Ausland (n)	foreign countries, abroad		
ausmachen	to switch off, to turn off		
auspacken	to unpack		
ausruhen (sich)	to rest		
ausruhen (sich), relaxen	to rest, relax		
ausschimpfen	to tell off		
