अकड़	arrogance
अकड़	become stiff
अकड़	behave defiantly
अकादमी	academy
अकेला	alone
अकेलापन	aloneness
अकेली	alone
अकेली	Alone
अक्‍कड़-बक्‍कड़	A game
अक्खड़	arrogant
अक्‍खड़	arrogant
अखाड़ा	Camp
अंग	body part
अंग-प्रत्‍यंग	body part
अगड़-बगड़	balderdash
अंगरक्षक	Body Gourd
अगल-बगल	adjoining
अगला	ahead of
अंगारा	burning charcoal
अंगीठी	brazier
अग्‍नि-कण	a spark [of fire]
अग्‍निकण	burning
अग्रगामी	anterior
अग्रिम	advance
अघा	be satisfied
अघोरी	a sect who believes in extravagant eating and drinking
अघ्येय	behind comprehension
अचलगढ	achal garh
अच्छा	better
अजमेर	Ajmer; Name of a city
अजवायन	aromatic seed
अटक	be embroiled
अटपटा	absurd
अटलांटिक	atlantic
अंटसंट	absurd
अटारी	attic
अंटार्कटिका	Antarctica
अटेरन	Bobbin
अंतरिक्षयात्री	astronaut
अतल	abyssal
अति-प्रिय	beloved
अतिरिक्‍त	additional
अतिरिक्त	additional
अतिरिक्त‍त	additional
अंत्‍याक्षरी	antyakshare
अत्याचार	atrocity
अथर्ववेद	atharvaveda
अंदेशा	apprehension
अद्भुत	amazing
अद्‌भुत	amazing
अद्‍भुत	amazing
अद्‍भुत	Amazing
अधखुला	ajar
अंधा	blind
अंधानुकरण	blind belief
अंधापन	blindness
अधिकार-पत्र	authorisation
अधिवृक्की	adrenal
अंधी	blind (female)
अनसु	avoid
अनाजघर	barn
अनासागर	ana sagar
अनिश्‍वरवादी	agnostic
अनुकूल	agreeable
अनुचर	acolyte
अनुचित	be unfair
अनुपस्थित	absent
अनुपस्‍थित	absent
अनुपस्थिति	Absence
अनुरक्‍त	attached
अनुरागी	amature
अनुसार	acccording to
अनुसार	according to
अनुसार	accordingly
अनुस्‍वार	anasal character of Nagari alphabet
अन्‍तवस्‍त्र	bodice
अन्‍दाज	assessment
अन्धा	blind
अन्‍धा	blind [m]
अन्‍धी	blind [f]
अन्न-पूर्णा	Anna-Purna
अन्‍य	another
अपनत्‍व	affinity
अपना	adopt
अपनापन	Affinity; feel friendly toward
अपने-अपने	by oneself
अपमान	ashamed
अपराधी	accused
अपशकुन	bad omen
अपशकून	bad omen
अपशब्‍द	abuse
अपशब्द‍	abuse
अपशब्द	Abuse
अपील	appeal
अपेन्डिक्स	appendix
अप्रैल	April; april
अफगानिस्तान	Afganistan
अफ्रिका	Africa
अब्राम	Abram
अभिकरण	agency
अभिनय	acting
अभिनेता	actor
अभिमान	arrogance
अभिमान	Attitude
अभिमानी	arrogant
अभियान	campaign
अभियुक्त	accused
अभियोग	accusation
अभिलाषी	ambitious
अभीमनी	Arrogant
अभ्यस्त	accustomed
अभ्‍यस्‍त	accustomed; habitual
अमरकोट	Amarkot
अमरासर	Amarasar (village)
अमरिकन	american
अमरीका	America
अमरीन	Amrin
अमलतास	Amalatas
अयेने	Athens
अयोध्या	Ayodhaya
अयोध्‍या	Ayodhya
अयोध्‍या	Ayodhya (a name of city)
अरणियां	Araniya
अरणी-वन	Arni - Forest (a name of forest)
अरथी	bier
अरब	billion; billion
अरबपति	billiionaire
अरबों	billions
अराजकता	anarchy
अराजकता	Anarchy
अरे!	Are
अरे!	Are!
अर्गला	a log for fastening a door
अर्गला	bolt
अर्थी	[funeral] bier
अर्थी	bier
अर्द्धवार्षिक	Biannual
अलग	apart
अलमारी	almari
अलवर	Alwar
अलावा	besides
अलिंद	atrium
अलैंगिक	asexual
अल्‍लाउद्दीन	Allauddin
अल्लाह	allah
अल्‍लाह	Allah
अवनति	Anticlimax
अवरुद्ध	blocked
अवरोध	barricade
अविवाहित	bachelor
अशांत	Bothersome
असममित	asymmetrical
असामाजिक	antisocial
असामान्यता	abnormality
असालिया	a plant
असावधान	careless
अस्‍तु	amen
अस्त्र-शस्त्र	Armor
अस्‍त्र-शस्‍त्र	arms and ammunition
अस्थमा	asthma
अस्‍सी	80
अहरन	anvil
अहा!	Aha
आंक	assess
आंक	assess
आक	Awk
आकर्षण	attractive
आकस्मिक	accidental
आकांशा	ambition
आक्रमण	attack
आक्रामक	aggressive
आक्षेप	allegation
आखातीज	Akhateej
आखिर	After
आगमन	arrival
आगरा	Agra
आगार	Agra
आगे	ahead
आगे	ahead of
आगे	before
आघात	blow
आड़	barrier
आंतक	awe
आततायी	Bad man
आतुरता	anxiety
आंतें	bowel
आंतें	Bowel
आदी	accustomed to
आंदोलन	agitation; movement
आधार	base
आधार	basic
आधार-शैल	bedrock
आफत	calamity
आबू	Abu
आभा	beauty
आयु	age
आयुर्वेदिक	Ayurvedic
आयुर्वैदिक	Ayurvedic
आर-पार	across
आरंभ	beginning
आरम्‍भ	beginning
आरोप	blame; charge
आर्य	Arya
आर्य	Aryan
आर्यजन	araya men
आर्शीवाद	bless
आवश्‍यकतानुसार	according to need
आवश्‍यकतानुसार	as required
आवश्यकतानुसार	As required
आवाज	a sound
आवाज	call
आवास	accommodation
आशंका	apprehension
आशय	aim
आशिष	blessing
आशीर्वाद	blessing
आशीष	blessings
आश्‍चर्यचकित	astonished
आश्चर्यजनक	Amazing
आश्‍चर्यजनक	astonishing
आश्‍वासन	assurance
आस-पास	around
आसक्ति	attachment
आसगंद	Asgand
आसपास	around here; near about
आसमानी	blue
आस्था	belief
इकन्‍नी	anna
इकहरा	alone
इच्‍छानुसार	according to one's desire
इतरा	act affectedly
इंद्रायण-लता	Bitter - Lata
इधर-उधर	around
इनको	[to] them
इनमें	[in] these
इने-गिने	a few
इन्‍तजाम	arrangement
इर्द-गिर्द	all round
इलायची	cardamom
इल्‍लत	botheration
इस्त्री	a smoothing iron
ईंट	brick
उकता	be bored
उकसा	Actuate; to instigate
उक्‍त	above
उखड़	be uprooted
उखड़	be uprooted; come out
उछाल	boom
उजड़	be ruined
उज्जवल	bright
उज्‍जवल	bright
उज्जवल	Bright
उठाव	abolition
उडनखटोला	a legendary flying palanquin
उड़ा	blow
उतर	alight
उतावला	bad-tempered
उत्कंठा	anxiety
उत्तम	best
उत्तर	answer
उत्‍पन्न	born
उत्‍सर्ग	abandonment
उत्सुकता	anxiousness
उत्सुकता	Avidity
उदरपीड़ा	apendix
उदार	benefactor
उद्दंडता	arrogance
उद्दण्‍ड	arrogant
उद्दण्‍डता	arrogance
उद्दण्‍डता	arrogancy
उद्दण्डता	Boastful
उद्देश्‍य	aim
उन	3.sg.dist.f
उन्मूलन	abolition
उपकार	benefaction
उपकार	beneficence
उपयुक्‍त	befitting
उपरांत	after
उपलब्‍ध	available
उपलब्धता	available
उफन	boil over
उबटन	a paste for smearing the body
उबल	boil
उबाल	boil
उमंग	ambition
उमराव	aristocrat
उम्र	age
उलझ	be entangled
उलझन	botheration
उसको	[to] him
उससे	by
उस्‍ताद	boss
ऊँट	camel
ऊंट	camel
ऊँट-सवार	camel rider
ऊँटगाड़ी	camelcart
ऊँटनी	camel (female)
ऊपर	above
ऊपर	at
ऊपरी	above
ऊब	be bored
ऊब	Bored
एकदम	at once
एकलप	abandoned
एंड्रयू	Andrew
एलान	announcement
एस.टी.सी.	Acronym for Secondary Teaching Certificate
ऐंठ	be pulled tight
ऐसे	as
ऑस्ट्रेलिया	Australia
ओट	blindage
ओठी	camel [who graze the camels]
ओढनी	a woman's mantle
ओर	at
औटा	boil
और	and
और	any more
कई	a few
कंकण	bracelet
कंगन	bangle
कंगन	bracelet
कंगाल	Bankrupt
कंचुकी	bodice
कच्छा	Briefs
कट	be cut
कटु	bitter
कटुभाषी	bitter speaker
कटोरा	bowl
कटोरी	bowl
कड़वा	bitter
कड़वा	Bitter
कड़ा	bangle
कड़ुवा	bitter
कढ़ी	a curry prepared from whey and gram flor
कनस्‍तर	canister
कन्यादान	bestowing
कपट	cabal
कपाट	a door panel
कपूत	bad son
कपूर	camphor
कप्‍तान	captain
कफरनहूम	Capernum
कब्‍जा	capture
कमजोर	Boneless
कमरपट्टा	belt
कमरबंद	belt
कम्‍बल	blanket
कम्बल	blanket
कम्‍बल	blankit
करतूतां	acts
करबा	a dish made of curd and rice
करार	agreement
करील	a thorny plant
कर्ण-सबंधी	aural
कर्म	act
कलंक	blemish
कलंक	blot
कलंकित	blemished
कला	art
कलाकार	actor
कलाकार	artist
कली	bud
कल्‍प	assume
कवच	armor
कष्‍ट	ache
कष्‍ट	calamity
कसमसा	be in tension
कसरत	an exercise
कसाई	butcher
कसैला	acidness
कह	affirm
कहर	calamity
का	[gen]
काकी	aunt in law
काख	armpit
कांख	armpit
काजल-बिन्दी	Care for a baby
काट	bite
काट	breach
कांटेदार	barbed
काथा	acacia
काँप	be alarmed
कांप	bicker
काफी	ample
कामवास	be attractive to sex
कामोत्तेजक	aphrodisiac
कायफल	Box myrtle
कार	car
कारवाँ	caravan
कारीगर	artisan
कार्ड	card
कार्य	act
कार्यवाही	action
काला	black
कालिख	blackness
कालिमा	blankness
कालीन	carpet
कालीमिर्च	black pepper
कांस्‍य	bronze
किंचित	a little
किताब	book
किनार	border [of cloth]
किनारा	bank
किनारा	border
किरण	Beam
किरन	beam
किश्ती	boat
किसी	any
कीटाणु	bacteria
कीर्ति	Brightness
कुचल	break down
कुछ	A few
कुछ	aught
कुतिया	Bitch
कुत्ती	bitch
कुध्द	angry
कुप्रथा	bad custom
कुबुध्‍दि	bad wisdom
कुबुध्‍दि	bad wisdom person
कुरज	a birds
कुरीतियां	bad custom
कुरीती	bad custom
कुर्की	attachment
कुल	aggregate
कुल	all
कुलबुला	be restless
कुलीन	a well born
कुल्‍हाड़ी	axe
कुल्हाड़ी	axe; axe
कुल्‍हाड़ी	battle-axe
कुँवारा	bachelor
कुंवारा	bechler
कुश	a kind of grass
कुसमय	bad time
कुसमय	Bad times
कूंडा	a large earthern vessel
कूल्‍हा	buttock
कृत्रिमता	affectation
कृत्रिमता	artificiality
कृषि	Agriculture
कृषि-कर	agricultural rent
कृषि-कार्य	agriculture work
कृषि-भूमि	agricultural land
केला	banana
केले	Bananas
कोई	any
कोई-कोई	a few
कोण	Angle
कोप	anger
कोंपल	bud
कोरा	blank
कोलाहल	Babel
कोशिश	attempt
कोसली	blouse
कौर	a mouthful
कौर	bit
क्यारी	bed
क्योंकि	As or Because
क्‍योंकि	because
क्रमानुसार	by turn
क्रुद्ध	Angry
क्रोध	anger
क्रोध	Angry
क्रोधन	anger
क्रोधित	angry
क्रोधी	angry
क्‍लेश	affliction
क्षमता	ability
क्षमता	capacity
क्षमता	Capacity
क्षार	alkali
क्षेत्र	area
क्षेत्रफल	area
क्षेत्रफल	Area
क्षैत्र	area
ख	affliction
खटिया	Bed
खट्टा	acetic
खंड	block; Block
खंडित	broken
खण्‍ड	block
खण्‍डित	broken
खण्‍िडत	broken
खरताळ	An musical instrument
खरल	a mortar
खरापन	candidness
खरापन	Candor
खराब	bad
ख़राब	bad
खरीद	buy
खरीददार	buyer
खरीदार	buyer
खरोंच	bruise
खरोंच	bruise
खलबली	anarchy
खलिहान	Barn
खाड़ी	bay
खाता	account
खाता	account book
खाली	blank
खिंचाव	attraction
खिल	bloomed
खिलाफ	against
खीज	annoyance
खीज	be irritated
खुरपा	a grubbing or scraping instrument
खुरपा	a scraping instrument
खुल	be untied
खुशामद	adulation
खून	blood
खूबसुरत	beautiful
खूबसूरत	beautiful
खूबसूरत	Beautiful
खेमा	camp
खैर	all right
गंज	baldness
गंजा	bald
गंजा	bald headed
गंजापन	baldness
गठजोड़	Alliances
गठजोड़ा	alliance
गठरी	bundle
गड़	be pitched
गड़बड़ी	bungling
गड्डी	bundle
गड्डें	a game played by girls and women with small stone balls
गणना	calculation
गत्ता	board
गत्ता	card board
गद्दा	camel carpet
गधा	ass
गप्‍प	bragging
गरज	adulation
गरमी	Caloric
गरीबी	adversity
गरुड़	bird of jove
गली	Alleyway
गलीचा	carpet
गंवार	bestial
गाड़	bury
गालियां	abuse
गाली	a term of abuse
गाली	abuse
गिनती	calculation
गुच्‍छा	bunch
गुच्छा	Bunch
गुजर	bear
गुंजाइश	capacity
गुट	batch
गुण	attribute
गुणहीन	bad
गुदा	anus
गुब्‍बारा	baloon
गुमनाम	anonymous
गुमाश्‍ता	accountants
गुलदस्ता	bouquet
गुलदस्‍ता	Bouquet
गुल्ली	bail
गुस्‍सा	anger
गुस्‍सा	angry
गुस्सा	angry
गुस्सा	Angry
गुस्‍सैल	Angry
गुहार	appeal
गूदड़ी	bedding of rags
गेंद	ball
गेंद	Ball
गैर	alien
गैरहाजरी	absence
गोट	border
गोना	bring to lady after the marriage
गोभी	cabbage
गोलमाल	bungling
गोला	bomb shell
गोला	cannon ball
गोली	ball
