å få meg	to get myself
å fylle	to fill
å legge til	to add to
å savne	to miss (someone...)
å tømme	to empty
absolutt ikke	absolutely not
Adgang	access, entrance, admission, entry
adresse (en)	address
akkurat nå	right now
alderen	its age
aldre	ages
aldri	never
alle	all
Alle	Everyone
allé
[alleen alleer alleene]	avenue
alle slags hunder	all kinds of dogs
allmennheten	the public
alltid	forever, always
alt	everything
alt	everything, the lot
alt går	everything is going...
altfor	much too
alvor	seriously
alvorlig	serious
alvorlige	serious
amerikaner	americans
and	duck
anden	the duck
andre	others, else
annen	another
annenhver	every other, every second
annet	other, else
annonse	advertisement
ansikt (et)	face
antall	number
antar	assume, presume
antar at	assume that
apelsin	orange
åpenbart	obviously
åpne	open
appelsinen	the orange
Aprikos	Apricot
år	year
arbeider	work (v)
arbeidsgiver	employer
arbeidsplass (en)	workplace
arbeidstid	working hours
året	the year
århundre	century
årstid	season
at	that (conjunction)
at	that (conjunction)
åttende	eighth
avdeling	department
avdeling	department, ward
avisen	the newspaper
avisene	the newspapers
aviser	newspapers
både	both
badekar	bathtub
bader	bathe
barbere	shave
barberhøvel	razor
barbermaskin	electric shaver
bare	just
barn	child
barn	children
barna	the children
Barna legger seg	The children are going to sleep (lie down)
barnehage	kindergarten
barnet	the child
basseng	pool
Batteri	Battery
be	ask, request
befolkning	population
begge to	both
begrense	restrict, limit
begynne på nytt	start over
behøve	need
beklager	excuse me
Benk	Seat, bench
ber	asks
Berg	Mountain
berømt	famous
bestefar	grandfather
besteforeldre	grandparents
bestemor	grandmother
bestille	order, book
betale	pay
betaler	pay
betydde	meant
betyr	mean (v)
bilen	the car
Billett	Ticket
billige	cheap
bilnøklene	the car keys
binders	paper clip
bit (en)	piece
bjørn	bear
bjørnen	the bear
bjørner	bears
blå	blue
blande	blend, mix
blanding	mixture, blend
blant	among
bli	become
bli	become
bli med	go along, come along
bli med	join, go along, come along
blir	becoming
blyant (en)	pencil
bok	book
boken	the book
bøkene	the books
bøker	books
bonde	farmer
bor	live
bord	table
borgere	citizens
børste	brush
borte	gone
borte	gone
bortenfor	beyond
bra	fine
brannmann	firefighter
brev	letter
brev	letter
brevene	the letters
brevet	the letter
briller	glasses
brød	bread
brødet	the bread
brødre	brothers
bror	brother
bruk	use
bruke tid	spend time
bruke tid på det	spend time on it
bruker	use
brukte	used
brus	soda
bryggen	the pier
bryllup	wedding
buksa	pants
bukser	pants
butikk	store
butikken stenger klokka sju	the shop closes at seven
bygd	village
bygde	Village
bygder	villages
bygger	building (v)
bygning	building
dag	day
dagbok	diary
dagpenger	unemployment pay
dårlig	bad
datamaskin (en)	computer
datoen	the date
datter	daughter
datteren min	my daughter
de	they
De passer godt sammen	They go well together
defra	from there
deg	you
dele	divide, share
delvis	partly
delvis møblert	partially furnished
dem	them
den	it (m)
den	it/that/this
denne	this (m/f)
dens	its
der	there
dere	you (pl)
dere	you (pl)
dessverre	unfortunately
det	it/that/this
Det er enkelt å be	It is simple to ask
Det er tomt for	There is no more
det gjorde jeg	I did it
Det overrasker ikke meg	That does not surprise me
det regner	it is raining
Det stemmer	That is correct
Det virker bra	That seems fine
dets	its
dette	this (neuter)
disse	these
dobbelt	double
døgn	day (24 hours)
domkirke	cathedral
dør	door
døren	the door
døtre	daughters
Dra avsted	Set out
Dra fra	Leave from
drakk	drank, was drinking
Drar	Leaving, going
drikk	drink
drikker	to drink
dro	left
drømmer	dreams
du	you
duk	tablecloth
dusj (en)	shower
dyne (ei/en)	duvet
dyr	animal
dyr	animals
dyrehage	zoo
dyrene	the animals
dyret	the animal
dyrt	expensive
edderkopp	spider
edderkoppen	the spider
egenskaper	qualities
egentlig	really, actually
egg	egg
egget	the egg
egne	own
ei	a (f)
eiendom	property
eier	own (v)
ektefelle	spouse
ektemann	husband
ektepar	married couple
elefant	elephant
elefanten	the elephant
elefantene	the elephants
elefanter	elephants
elg	moose
elgen	the moose
elgene	the moose
eller	or
ellevte	eleventh
elsker	love
elsket	loved
Elv	Stream
en	a (m)
en annen	another
én gang i året	once a year
en gate	a street
en saks	a pair of scissors
en time senere	an hour later
endene	the ducks
ender	ducks
enebarn	only child
eneste	every, single
engelsk	English
enhver	anyone, anybody, each person
enkel	simple
enn	than
ennå ikke	still not
enten	either
eple	apple
eplene	the apples
epler	apples
eplet	the apple
er	is
er det borte	are over there
er ofte på besøk	is often visiting
Erter	Peas
eske	box
eske (en)	box
esker	boxes
et	a (n)
et øyeblikk	just a moment
etasje (en)	floor (level)
etter	after
ettermidaggen	the afternoon
få	get
fabrikk (en)	factory
familiemedlemmer	family members
fant	did find, found
far	father
får	get
farfar	grandfather (father's father)
farge	colour
farger	colours
fargerik	colourful
farlig	dangerous
farlige	dangerous
farmor	grandmother (father's mother)
fattige	poor
fedre	fathers
felles	common
