(chon) چون	Because
(به) جز (negative +)	expect, only
(به) جز اینکه	unless
[به] همزدن	To stir, mix
آتش بازی ātash bāzi	firework
آجيل	Nuts
آخر	Last/end
آخرين	The last
آرامگاه	tomb/resting place
آره	Yeah
آماده	Ready
آنچه	That which, what
آینده	future
اَب	Water
اَب دادن (ده)	To water
ابر	Cloud
ابرو	Eyebrow
اَبى	Blue
اپرا	Opera
اتاق	Room
اتفاق افتادن	for something to happen, occur
اتفاقا=	actually
اتو کردن	to iron
اختاپوس/هشت پا	octopus
اخر هفته	Last week
ادامه دادن به	To continue
اراد	free
اَرام	Quiet
ارتش	army
ارزان (arzun)	Cheap
از دست دادن 
 az dast daadan	to lose
اَسان	Easy
اسانسور	Elevator
استبدادی	dictatorial
استخر (estakhr)	Swimming pool
استفاده كردن از	To make use of
اسكى	Skier
اسکله	pier
اسمان	Sky
اشكال	Difficulty, problem
اشكال داشتن	To have a problem, for something to be wronf
اصلى	Original
اطراف	surroundings
اغلب	most, majority
اَقتابى	Sunny
اقیانوس	ocean
اکنون	now
اگر	if
اگر هم	Although
اگرنه	Otherwise
الان	Now
البته	Obviously/of course
الوده	polluted
اما	but
اَمدن (اَ)	To come
امروز	Today
امشب	Tonight
اَن/اِن	That/this
انار	Pomegranite
انتخاب كردن (كن)	To elect
اَنجا/اِنجا	There/here
انجم دادن (ده)	To do
اَنجو	Beer
انداختن	To drop, throw
اَنشا	Essay
انطور	thus, like that
اَنها/ اِنها	Those/these
اهنگ	Song
اوردن (اور)	To bring
اى كاش	I wish (not a verb)
اَيا	Introduces question
ايستادن	To stand
اينجور	This way
این قد بود	'It was this big'
اینطور	thus, like this
با	By, with
با اتکا به...	with the help of...
بادام	Almond
بار	Open (adj)
بار کردن (كن)	To open
باران	Rain
باران	Rain
باران باريدن/ امادن	To rain
باز شدن	To be opened
باز نشسته	Retired
بازهم	Still, nonetheless
بازى كردن (كن)	To play
بازيكن	Player
باش	Imperative of 'to be'
باشگاه	Club
باع	garden
بالا	Top/up
بالا	Up, upstairs
بالاى	Over, above (prep)
بام	roof
باور کردن	to believe
بايد	Must (obligation)
بايست/بايستي	Must (=بايد)
ببخشِد	Sorry
بچه	Child
بخشيدن	To excuse, forgive
بد مزه	Not tasty
بر	Over, upon, against, at
بر خاستن (بر خیز)	to rise up, stand up (literary use)
بر داشتن	To pick up, take
بر گشتن (گرد)	To come back, return, go back, turn around
برابر	Together
براه افتاده	to get under way, start out
براى	For
برخى	Some
برخى از	Some of
بردن (بر)	To win (game, bet)
بردن (نر)	To take, carry
برف	Snow
برگ	Leaf
برگرار کردن	to hold, run, organise
برنج (berenj)	Rice
بزرگ	Big
بزرگ شدن	To grow up, get big
بزرگ كردن (كن)	To raise (child, person)
بژ	Beige
بس	Enough
بستنى	Ice cream
بسته	Closed
بسته	parcel
بسيار	Very
بشرطی که	provided that
بشقاب	Plate
بعد از	After (something)
بعد از آنكه	After (conj)
بعضى	Some
بعید	unlikely
بفرمايد	Sit down
بكار بردن	To use, employ
بلد بودن	to know (how)
بلند	Long
بلوز	Blouse
بندر	harbour
بنفش (banafsh)	Violet
به درد خوردن	to be of use (to someone)
به دنبال...است	to look after, follow
به محض این که	as soon as
به نظر می رسد 
be nazar miresad	It seems...
بهتر	Better
بهترين	Best
بوقامون	Turkey
بياوريد	Bring! (Plural)
بيدر	Awake
بيدر شدن	To wake up
بيدر كردن (كن)	To wake someone up
بيشتر	More
بيمار	
بيمارستان	Hospital
بينى	Nose
بی انکه	without
بیکار	unemployed
بیمه	insurance
پا	Foot/leg
پا شدن	to get up, stand up (colloquial)
پائين	Down, downstairs
پارچ	Jug
پارك	Park
پارو زدن	to row
پاك كردن	To clean
پايين	Bottom/down
پایتخت	busier
پاییز	autumn
پخت pokht	he/she cooked
پدر	Father
پر(pūr)	Full
پرچم	Flag
پرستار	Nurse
پرسيدن (از)	To ask (someone)
پرکار	busy
پرواز	flight
پرواز کردن	to fly
پزشك	Doctor
پس	So, then
پس از آينكه	After (conj)
پسر	Boy
پشت بام	roof
پلاكـ	House number
پلّه	Stairs
پلو (polo)	Cooked rice
پنجره	Window
پوشیدن	to get dressed
پوشیدن (پوش)	to wear
پول	Money
پياده	On foot, by foot, pedestrian
پياده رفتن	To go on foot
پياده شدن	To get out, off (vehicles)
پيدا كردن	To find
پير	Old
پيش از اينكه	Before (+subj)
پيش رفتن (رو)	To go forward, advance, proceed
پيشنهاد كردن	To suggest
پیام کردن	to message
پیراهن	shirt
پیش امدن	to come up, happen
تا	Than
تا	Until, by the time, in order that
تابستان	Summer
تاريك	Dark
تاريكـ	Dark
تازه	fresh
تحویل tahviil	delivery
تخت	Bed
تخفيف	Discount
ترانه	song
ترشيدن	To be afraid
تزيين كردن (كن)	To decorate
