¡Párense!	stop!		
¡Ya voy!	I'm coming!		
¿De parte de quién?	Who's calling please?		
¿De parte de quién?	Who's calling please?		
¿Me escuchas?	Are you listening to me?		
¿Me escuchas?	Are you listening to me?		
¿Qué tiempo hace?	What's the weather like?		
"mijo"	my son (mi hijo)	deck#2	due@2021-10-25 04:57:15
(Yo) me imagino que...	I imagine that		
A Anita le encanta la música.	Anita loves music.		
A Anita le encanta la música.	Anita loves music.		
a corto plazo	short term		
a corto plazo	short term		
a largo plazo	long term		
a largo plazo	long term		due@2021-10-24 04:56:23
A mí me encanta la música.	I love music.		
A mí me encanta la música.	I love music.		
a pie	by foot		
a término medio	medium		due@2021-10-24 04:59:44
a término medio	medium		
a veces	sometimes		
aboard	abordo		
abril	April		
abrir	to open		
aburrir	to bore		
acá	here		
acostarse	to go to bed		
acostarse	to go to bed		
agarrar	to grab		
agosto	August		
aisle	el pasillo	deck#2	due@2021-10-25 04:56:52
al lado de	beside		
alegre	happy		
alemán	German		
alemán	German		
algo	something		
algo	something		
allí	there		
almorzar	to eat lunch		
alquilar	to rent		
alrededor de	around		
alto	tall		
amarillo	yellow		
americano	American		
americano	American		
andaluz	Andalusian		
andaluz	Andalusian		
andar	to walk		
andar a caballo	to go horseback riding		
anoche	last night		
antes de	before		
añadir	to add		
aquí	here		
argentino	Argentine		
argentino	Argentine		
armar la carpa	to set up the tent		
arroba	@		
arroba	@		
asignar	to assign		
asignar	to assign		
Asunción	Paraguay		
Asunción	Paraguay		
ayer	yesterday		
azul	blue		
bajar	to go down		
bajar del tren	to get off the train		
bajo	short		
barato	cheap		
bastante	fairly		
batear	to bat		
bathroom	el servicio		
beber	to drink		
bien educado	well mannered		
bien hecho	well done		
bien hecho	well done		
bloquear	to block		
Bogotá	Colombia		
Bogotá	Colombia		
borrar	to erase		
borrar	to erase		
brasileño	Brazilian		
brasileño	Brazilian		
británico	British		
británico	British		
bronceado	tan		
bueno	good		
Buenos Aires	Argentina		
Buenos Aires	Argentina		
buscar	to look for		
caber	to fall		
cada	each		
caer	to fall		
caer	to fall		
caer	to fall		
Caigo	I fall		due@2021-10-24 04:59:35
Caigo	I fall		
cambiar	to exchange		
cambiar	to exchange		
caminar	to walk		
canadiense	Canadian		
canadiense	Canadian		
cansado	tired		
Caracas	Venezuela		
Caracas	Venezuela		
cariñoso	caring		
caro	expensive		
casi crudo	rare		
casi crudo	rare		
castaño	brown		
catalán	Catalan		
catalán	Catalan		
cepillarse los dientes	to brush the teeth		
cerca de	close to		
cerrar	to close		
chileno	Chilean		
chileno	Chilean		
chino	Chinese		
chino	Chinese		
Ciudad de Guatemala	Guatemala		
Ciudad de Guatemala	Guatemala		
Ciudad de México	México		
Ciudad de México	México		
Ciudad de Panamá	Panamá		
Ciudad de Panamá	Panamá		
cobrar	to collect		
cobrar	to collect		
coger	to catch, grab		
coger	to catch, grab		
Cojo	I grab		
Comamos.	Let's eat.		
Comencemos / Empecemos.	Let's begin.		
comenzar	to begin		
comer	to eat		
cómico	funny		
componer	to compose		
componer	to compose		
comprar	to buy		
con permiso	excuse me		
contener	to contain		
contento	happy		
contestar	to answer		
convencer	to convince		
correr	to run		
costar	to cost		
costarricense	Costa Rican		due@2021-10-24 05:00:12
costarricense	Costa Rican		
cubano	Cuban		
cubano	Cuban		
cumpleaños	birthday		
dar	to give		
dar	to give		
dar una caminata	to go for a hike		
dar una fiesta	throw a party		
de repente	suddenly		
de vez en cuando	every now and then		
decir	to say		
decir	to say, tell		
decir	to say, tell		
dejar un mensaje	to leave a message		
dejar un mensaje	to leave a message		
dejar una propina	to leave a tip		
dejar una propina	to leave a tip		
delante de	in front of		
delante de	in front of		
delay	un retraso		due@2021-10-24 04:56:58
delay	una demora		
Demos.	Let's give.		
dentro de poco	in a little bit of time		
deprimido	depressed		
derecho	right	deck#2	due@2021-10-25 04:56:30
descolgar	to pick up the phone		
descolgar	to pick up the phone		
deshacer	to undo		
despertarse	to wake up		
después (de)	after		
detener	to detain		
