ah tii bai	explain
awn ay	weak
aw rom	Emotions
b33b	type/kind/sort
b3ng (f)	share
bo rii sat	company
brat doo	door
chaa	numb
chii weet	life
daake dong	different
daw bai krang	next time
daw	continue
dii kuun	better
diit gawb	next to
doan dtrii	music
done taan	travel
dtoke	drop/set (sun)
dtowa aayng	myself
dtowa muwang	city
dtū	building
dtūūn dtèn	excited
eye	shy
fie	light
gahm lahng	is getting
gahn	eachother
gee moong l33ow	what time is it
geeyoh gahn	relate
glai pben	become
gote	rules
gūahp	almost
het	mushroom
hooahrah	laugh
hua na	leader
jai blaad	surprised
jai + ka(thing) hai(people)	pay for
k33ng rang	strong
kaad wang	expect
kaa ta kam	murder
ka	kill
kaw awng	excuse/reason
ka yahp	to move
keet giyat	lazy
koom ká	worth it
kún	up/rise (sun)
kuu kwan	deserve/be worthy
kwam mahn jai	confidence
laay-oh	very bad
luak	to choose
lug	end a relationship (quit)
luhg	end
mai -- tao	not as -- as
moawk	appropriate
naam	do not
naam man	gas/oil
na	face
na	page
noom gwa	younger
nūk wa	realize
n. ซื้อของ H/M	shopping
n. อุณหภูมิ M/L/M	Temperature
oat tone	patience
p33	allergy
paak pawn	relax
pa ta na	improve
pben jao kong	to own
pra aw tit	sun
pra jan	moon
raek	first (rank)
ra waang	between
rawng hai	to cry
riiap roy	tidy
roke	messy
sa-ngope	calm, peaceful
seen kaa	product
set	finish
siiang dang	loud
song comb	society
sue kwang	shop
sue thai	last (rank)
t33n	instead of
taat sa na ka dti	attitude
ta law	argue
two ra	errand
Wen-dtaa	eyeglasses
woang glome	circle
yaa	do not
yang nii/na	like this/that
yoke	except for
ก็ F	also (adverb)
กดดัน god dahn	pressure
ก็ได้ F/F	any_____ (where,one,amount)
ก็ได้ F/F	possibly (polite)
ก้น F	butt
กบ gahp	frog
กบ L	frog
ก็ไม่ L/F	even (adv)
กรกฎาคม ga ra ga daa (kom)	July
กรอบ L	crispy/crunchy
กระโดด gra dohd	jump
กรุงเทพฯ M/F	Bangkok
กรุณา L/H/M	please (formal)
กล้วย F	banana
กลับ L	return
กลัว M	fear
กลาง M	central
กลาง M glaang	middle
กลาง M glaang	nighttime
กลางวัน M/M	daytime
กลายเป็น M/M	become
กลิ่น L	to smell (sniff)
กลุ่ม F	group
ก็เลย F/M	so (slang)
ก๋วยเตี๋ยว R	noodle (rice)
กวี L/M	poet
กอด L	hug
ก่อน L	ago
ก่อน L	before
กังวล M/m	worried
กัญชา M/M	Marijuana
กัน M	each other
กันเถอะ M/L gan tau	let's
กันยายน gan yaa (yon)	September
กับ L	with
กาแฟ M/M	coffee
การแข่งขัน gaan k33ng kan	competition
กี่ L	how many...?
กีโมงแล้ว M/M/H	What time is it?
กีฬา gii laa	sports
กีฬา M/M	sports
กุ้ง F	shrimp
กุมภาพันธ์ goom paa (pan)	February
เก่ง L	good at sth
เก่งขึ้น L/F	improve (ability)
เกเร M/M	naughty
เกลียด L	hate
เกลือ M	salt
เกะกะ L/L	messy/disorganized
เก้า F	nine
เก่า L	outdated
เก่ากว่า gay gwa	older
